이름,번호,요금제,나이,전월 데이터,현월 데이터
윤서원,010-9093-7189,군인 프리미엄 OTT,28,8GB,57GB
서채준,010-7016-5849,청소년 프리미엄 OTT,18,17GB,47GB
강민진,010-2148-1203,일반 프리미엄 5G+OTT,47,23GB,46GB
한서윤,010-2330-4907,청소년 무제한,15,24GB,43GB
신아원,010-1366-2761,군인 최저가 20GB,20,4GB,40GB
김민성,010-8844-3930,군인 최저가 20GB,27,4GB,30GB
이수진,010-4430-9665,노인 무제한,60,14GB,43GB
김규현,010-2807-6960,노인 20GB,79,29GB,15GB
김아현,010-4711-5105,청소년 무제한,16,35GB,46GB
서현호,010-1224-6447,노인 최저가 10GB,64,60GB,44GB
조수성,010-2681-3612,군인 프리미엄 OTT,21,11GB,38GB
윤민경,010-3792-6582,일반 LTE 무제한,39,16GB,25GB
이아준,010-3980-2240,일반 5G 무제한,39,36GB,47GB
오지현,010-9554-2429,일반 프리미엄 5G+OTT,47,5GB,25GB
정하민,010-7063-7796,일반 LTE 무제한,37,24GB,45GB
조현호,010-6919-1698,군인 최저가 20GB,21,28GB,60GB
오수연,010-3781-6408,일반 최저가 20GB,51,33GB,17GB
서수성,010-5560-3331,일반 프리미엄 5G+OTT,53,26GB,49GB
서현호,010-2254-1983,일반 50GB,21,31GB,57GB
서아윤,010-6062-9837,군인 30GB,23,15GB,11GB
정지원,010-2507-9681,노인 20GB,69,6GB,17GB
오윤준,010-8308-8780,군인 30GB,21,24GB,27GB
강아빈,010-5316-7511,일반 최저가 20GB,35,24GB,51GB
오윤경,010-8627-3415,군인 프리미엄 OTT,23,43GB,22GB
서현준,010-7208-6811,일반 LTE 무제한,43,26GB,30GB
한아빈,010-3621-2529,노인 최저가 10GB,83,26GB,28GB
이하진,010-1047-3155,청소년 프리미엄 OTT,19,9GB,7GB
신규경,010-6942-6360,청소년 최저가 20GB,18,25GB,13GB
정하현,010-3507-6138,일반 저가 30GB,35,51GB,20GB
강규현,010-4781-7244,군인 30GB,20,31GB,36GB
이우진,010-1713-9015,청소년 프리미엄 OTT,15,9GB,30GB
윤민진,010-5998-1031,청소년 30GB,17,34GB,23GB
서윤원,010-6234-6611,일반 LTE 무제한,21,34GB,29GB
이현경,010-7553-1292,청소년 30GB,19,25GB,11GB
김민호,010-1672-3433,군인 30GB,22,22GB,42GB
윤도호,010-6978-1421,군인 30GB,26,35GB,36GB
정하연,010-8841-6840,일반 최저가 20GB,26,52GB,9GB
박현영,010-9000-6262,노인 20GB,75,31GB,29GB
최윤진,010-3154-1389,일반 저가 30GB,34,33GB,21GB
정현준,010-9600-7514,청소년 최저가 20GB,19,7GB,32GB
강아영,010-9001-3523,일반 50GB,40,8GB,55GB
최아민,010-8126-8763,노인 프리미엄 OTT,76,14GB,17GB
서지현,010-7691-1879,군인 최저가 20GB,27,47GB,12GB
윤수경,010-8415-8055,일반 저가 30GB,33,2GB,57GB
서현진,010-7602-2673,청소년 프리미엄 OTT,16,59GB,9GB
조서민,010-5751-8655,일반 50GB,45,32GB,56GB
이현영,010-1834-7039,노인 프리미엄 OTT,81,20GB,44GB
이민준,010-8800-9614,일반 최저가 20GB,33,54GB,7GB
강수호,010-3528-7998,노인 프리미엄 OTT,61,52GB,26GB
김도영,010-9643-6021,청소년 프리미엄 OTT,16,1GB,40GB
한채경,010-6864-5909,청소년 최저가 20GB,17,55GB,9GB
윤현영,010-9862-9844,일반 저가 30GB,24,40GB,7GB
김도영,010-1031-6346,일반 저가 30GB,31,7GB,29GB
신서경,010-6697-5983,군인 최저가 20GB,25,22GB,6GB
김우진,010-5581-1548,노인 프리미엄 OTT,85,18GB,47GB
정현연,010-6908-4752,일반 5G 무제한,42,32GB,13GB
신민성,010-7878-1409,노인 20GB,83,45GB,54GB
최민영,010-7332-5726,청소년 무제한,19,2GB,21GB
한지경,010-5257-8688,일반 50GB,40,5GB,0GB
신규영,010-9292-7589,청소년 프리미엄 OTT,14,23GB,5GB
강규영,010-3913-9834,일반 LTE 무제한,31,24GB,36GB
신민민,010-6976-7612,일반 5G 무제한,33,60GB,18GB
김규윤,010-7518-2276,일반 최저가 20GB,22,25GB,0GB
박도윤,010-7906-5492,노인 20GB,83,14GB,60GB
최서윤,010-3135-8608,군인 최저가 20GB,21,52GB,55GB
한수성,010-3158-8479,군인 최저가 20GB,26,47GB,21GB
신우성,010-3891-5959,청소년 무제한,14,23GB,35GB
윤서진,010-5395-3040,청소년 프리미엄 OTT,14,38GB,0GB
윤규민,010-2926-2920,노인 프리미엄 OTT,81,46GB,48GB
정아성,010-8354-5156,일반 저가 30GB,54,48GB,13GB
최채경,010-9426-2736,노인 최저가 10GB,67,32GB,31GB
정윤윤,010-7345-3930,노인 무제한,68,39GB,47GB
서윤빈,010-1367-9824,일반 프리미엄 5G+OTT,54,59GB,51GB
신민민,010-6151-1725,노인 최저가 10GB,70,26GB,26GB
최서현,010-6630-1373,청소년 프리미엄 OTT,17,31GB,14GB
오아호,010-7028-9140,청소년 무제한,15,15GB,56GB
박채연,010-8926-5706,일반 저가 30GB,45,17GB,32GB
서서호,010-7358-1051,청소년 프리미엄 OTT,15,49GB,34GB
서우빈,010-2076-7007,청소년 무제한,14,24GB,1GB
박도영,010-8573-4297,일반 5G 무제한,46,32GB,38GB
최아빈,010-6490-3126,군인 최저가 20GB,22,12GB,29GB
최민빈,010-8926-9082,군인 프리미엄 OTT,28,41GB,21GB
윤지현,010-5049-1615,일반 50GB,43,35GB,24GB
강서준,010-8450-1850,군인 프리미엄 OTT,27,3GB,9GB
신채현,010-9376-1671,일반 LTE 무제한,54,29GB,57GB
박아준,010-9589-8395,일반 LTE 무제한,26,14GB,31GB
신우경,010-5292-9155,일반 최저가 20GB,37,24GB,23GB
조지영,010-6933-9440,청소년 최저가 20GB,18,59GB,46GB
한윤호,010-2122-7633,군인 30GB,26,21GB,50GB
이지빈,010-4832-6805,청소년 무제한,19,12GB,45GB
최수원,010-1074-5862,일반 저가 30GB,31,30GB,50GB
서지연,010-2239-6902,청소년 최저가 20GB,16,24GB,36GB
신규윤,010-9126-2671,일반 저가 30GB,49,22GB,24GB
윤윤현,010-5776-9471,일반 LTE 무제한,42,22GB,16GB
한아진,010-7064-9720,청소년 무제한,16,51GB,21GB
강채성,010-7344-5998,노인 프리미엄 OTT,61,3GB,13GB
정규민,010-1944-7773,일반 5G 무제한,52,57GB,26GB
강수원,010-2732-4225,청소년 30GB,18,25GB,29GB
윤아윤,010-4456-1185,군인 최저가 20GB,25,50GB,37GB
